"ccode","country","year","onset","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","instab","polity2l","ethfrac","relfrac"
678,"YEMEN ARAB REP.",1963,0,1,0.145999997854233,8.34853744506836,3.33932209014893,0,0,0,1,0,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1964,0,1,0.153999999165535,8.3705472946167,3.33932209014893,0,0,0,1,0,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1965,0,1,0.17399999499321,8.39140319824219,3.33932209014893,0,0,0,1,0,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1966,0,1,0.172000005841255,8.41005325317383,3.33932209014893,0,0,0,0,0,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1967,0,1,0.162000000476837,8.42661190032959,3.33932209014893,0,0,0,1,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1968,0,1,0.170000001788139,8.44139194488525,3.33932209014893,0,0,0,1,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1969,0,1,0.207000002264977,8.45531749725342,3.33932209014893,0,0,0,1,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1970,0,1,0.210999995470047,8.46905326843262,3.33932209014893,0,0,0,0,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1971,0,0,0.214000001549721,8.48384284973145,3.33932209014893,0,0,0,0,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1972,0,0,0.266000002622604,8.499436378479,3.33932209014893,0,0,0,0,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1973,0,0,0.293999999761581,8.51599216461182,3.33932209014893,0,0,0,0,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1974,0,0,0.335999995470047,8.53346061706543,3.33932209014893,0,0,0,0,-3,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1975,0,0,0.345999985933304,8.55217456817627,3.33932209014893,0,0,0,0,-4,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1976,0,0,0.486000001430511,8.57205963134766,3.33932209014893,0,0,0,0,-4,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1977,0,0,0.541000008583069,8.59322834014893,3.33932209014893,0,0,0,0,-4,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1978,0,0,0.597000002861023,8.61577033996582,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1979,0,0,0.524999976158142,8.63905715942383,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1980,0,0,0.578999996185303,8.6538200378418,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1981,0,0,0.712000012397766,8.66854000091553,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1982,0,0,0.698000013828278,8.79361248016357,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1983,0,0,0.776000022888184,8.829665184021,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1984,0,0,0.913999974727631,8.86559391021729,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1985,0,0,0.944999992847443,8.90177536010742,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1986,0,0,0.973999977111816,8.9386625289917,3.33932209014893,0,1,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1987,0,0,1.19599997997284,8.97600936889648,3.33932209014893,0,1,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1988,0,0,1.25499999523163,9.01347351074219,3.33932209014893,0,1,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1989,0,0,1.25399994850159,9.05122756958008,3.33932209014893,0,1,0,0,-5,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1990,0,0,1.24399995803833,9.08896350860596,3.33932209014893,0,1,0,0,-5,0.037243664264679,0.639999985694885
679,"YEMEN",1990,0,0,1.67799997329712,9.32634449005127,3.33932209014893,1,0,1,0,-5,0.0599999986588955,0.612200021743774
679,"YEMEN",1991,0,0,1.67799997329712,9.32634449005127,3.33932209014893,1,0,1,1,-5,0.0599999986588955,0.612200021743774
679,"YEMEN",1992,0,0,1.64199995994568,9.35962200164795,3.33932209014893,1,1,0,1,-4,0.0599999986588955,0.612200021743774
679,"YEMEN",1993,0,0,NA,9.38848686218262,3.33932209014893,1,1,0,1,-3,0.0599999986588955,0.612200021743774
679,"YEMEN",1994,1,0,NA,9.5688533782959,3.33932209014893,1,1,0,1,-2,0.0599999986588955,0.612200021743774
679,"YEMEN",1995,0,1,NA,9.60136890411377,3.33932209014893,1,1,0,1,-2,0.0599999986588955,0.612200021743774
679,"YEMEN",1996,0,0,NA,9.63377666473389,3.33932209014893,1,1,0,0,-2,0.0599999986588955,0.612200021743774
679,"YEMEN",1997,0,0,NA,9.65930271148682,3.33932209014893,1,1,0,0,-2,0.0599999986588955,0.612200021743774
679,"YEMEN",1998,0,0,NA,9.68482780456543,3.33932209014893,1,1,0,0,-2,0.0599999986588955,0.612200021743774
679,"YEMEN",1999,0,0,NA,9.71035385131836,3.33932209014893,1,1,0,0,-2,0.0599999986588955,0.612200021743774
680,"YEMEN PEOP. REP.",1967,0,0,2.08299994468689,7.185387134552,3.33932209014893,0,0,1,0,-5,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1968,0,0,2.08299994468689,7.185387134552,3.33932209014893,0,0,1,0,-5,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1969,0,0,2.38199996948242,7.21524000167847,3.33932209014893,0,0,0,0,-5,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1970,0,0,2.77800011634827,7.2427978515625,3.33932209014893,0,0,0,0,-5,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1971,0,0,2.7720000743866,7.26542949676514,3.33932209014893,0,0,0,0,-6,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1972,0,0,1.65799999237061,7.29641342163086,3.33932209014893,0,0,0,0,-6,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1973,0,0,1.82700002193451,7.32317066192627,3.33932209014893,0,0,0,0,-6,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1974,0,0,2.1159999370575,7.36201047897339,3.33932209014893,0,0,0,0,-6,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1975,0,0,2.0220000743866,7.39817428588867,3.33932209014893,0,0,0,0,-7,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1976,0,0,1.89499998092651,7.4324836730957,3.33932209014893,0,0,0,0,-7,0.172264218330383,0.0950000286102295
